alan,oda_sayisi,bina_yasi,merkeze_uzaklik,kat,fiyat
103.1,3,34.7,6.6,2,2399.0
192.4,5,19.5,4.4,4,4023.0
158.5,5,35.8,21.9,8,2928.0
137.8,3,32.0,5.9,11,2860.0
69.2,2,17.0,24.4,13,1913.0
69.2,2,0.9,8.8,13,2159.0
54.0,1,10.7,5.0,2,2233.0
179.3,5,21.7,19.8,6,3173.0
138.2,3,25.3,16.6,11,2413.0
154.8,5,10.3,12.7,0,3146.0
48.2,1,5.6,14.1,3,1705.0
195.3,5,33.4,18.1,3,3194.0
174.0,5,39.4,6.1,6,3299.0
77.9,2,21.0,24.9,7,1710.0
73.2,2,6.9,24.4,0,1956.0
73.4,2,10.9,16.4,4,2050.0
92.2,2,0.7,5.4,6,2612.0
126.3,3,36.6,17.2,11,2314.0
112.0,3,4.7,2.3,3,3335.0
90.1,2,23.1,1.3,12,3414.0
139.8,4,11.0,6.8,3,3246.0
66.6,2,22.2,11.8,3,1744.0
90.3,2,26.1,21.8,11,2045.0
101.8,3,33.2,18.3,5,1905.0
115.7,3,8.3,18.7,6,2588.0
166.7,4,0.4,10.9,1,3517.0
75.9,2,5.5,9.0,14,2519.0
124.7,3,36.0,9.6,4,2597.0
136.8,4,35.0,24.7,3,2376.0
52.2,1,23.9,1.5,14,2457.0
139.2,3,24.0,21.7,13,2516.0
71.4,2,26.6,14.7,12,1532.0
55.1,1,7.0,11.2,2,1894.0
192.1,4,36.6,18.3,6,3142.0
194.7,5,16.8,12.4,10,3737.0
170.3,4,15.3,21.9,11,3342.0
92.2,3,20.8,22.6,5,2090.0
60.1,2,1.9,10.8,13,2071.0
151.1,4,6.7,7.3,6,3278.0
113.2,3,29.5,15.0,4,2258.0
63.9,2,3.3,22.9,12,1971.0
121.8,3,24.1,5.7,5,2885.0
50.3,1,9.8,15.8,4,1600.0
185.9,5,15.6,16.0,13,3477.0
85.1,2,11.5,18.5,6,2177.0
147.7,3,14.2,3.7,1,3410.0
93.3,3,28.8,18.0,13,2098.0
125.6,4,11.9,22.8,10,2677.0
129.7,3,22.7,4.9,4,3224.0
73.7,2,19.0,6.3,5,2259.0
195.3,5,26.5,24.3,5,3246.0
165.1,4,37.5,4.9,14,3382.0
190.6,5,29.3,21.4,4,3372.0
183.7,5,8.6,12.6,9,3787.0
137.7,4,1.2,6.6,6,3091.0
187.9,5,10.5,21.8,9,3315.0
58.7,2,23.8,11.4,7,1773.0
75.4,2,2.1,13.1,6,2113.0
52.0,2,19.9,9.3,4,1911.0
95.4,3,23.9,15.0,0,2013.0
105.2,4,13.4,4.5,12,2912.0
87.1,2,30.8,10.1,4,2085.0
173.5,5,4.3,24.3,9,3265.0
100.3,3,3.0,6.8,1,2799.0
88.5,3,29.1,16.6,12,2112.0
129.1,3,19.8,8.5,4,2896.0
66.8,1,27.5,19.5,4,1606.0
169.3,4,17.4,3.7,1,4052.0
56.6,1,9.9,24.3,4,1537.0
198.0,5,32.8,11.6,12,3593.0
164.7,4,32.0,6.3,3,3141.0
75.8,2,27.8,2.3,0,2502.0
45.9,1,10.9,4.7,2,2026.0
171.4,5,23.6,13.2,0,3361.0
154.6,5,14.4,8.8,11,3353.0
158.0,4,3.7,20.8,10,3025.0
164.5,4,36.7,11.1,14,3093.0
56.5,2,5.5,6.6,4,2152.0
100.6,2,38.0,15.6,3,1895.0
63.0,3,17.8,17.8,6,1639.0
178.8,5,7.4,4.6,4,4098.0
141.6,3,21.7,4.6,9,3341.0
96.3,2,34.9,1.4,13,3308.0
54.9,2,29.3,18.5,3,1610.0
93.2,2,32.3,16.8,1,1984.0
95.4,3,26.4,12.1,3,2136.0
158.1,3,27.7,21.2,11,2719.0
143.8,3,34.0,20.2,1,2482.0
182.5,5,10.0,14.8,7,3314.0
118.2,3,19.6,21.8,2,2458.0
63.5,1,8.8,5.5,8,2494.0
155.6,4,39.5,3.2,12,3446.0
162.9,4,37.8,7.1,3,3233.0
132.0,3,1.6,1.9,12,3659.0
164.5,4,28.2,13.5,5,2983.0
121.5,3,37.0,23.4,9,2147.0
126.0,4,7.2,1.5,4,3431.0
111.3,2,22.7,3.5,9,3023.0
48.9,1,36.6,11.6,12,1507.0
61.7,2,1.4,23.4,0,1882.0
49.9,1,27.9,8.2,8,1844.0
143.6,3,11.9,12.9,0,2957.0
93.7,3,37.0,1.5,7,2838.0
123.8,3,38.8,4.1,8,2967.0
185.7,5,37.8,24.7,8,3268.0
83.6,2,19.0,24.1,0,1942.0
108.6,4,34.5,0.6,1,3561.0
162.1,5,33.8,23.8,11,3131.0
80.5,2,12.8,16.2,12,2058.0
56.9,2,33.2,21.8,0,1328.0
89.9,3,1.5,11.6,9,2301.0
70.0,3,23.9,13.1,1,1685.0
189.1,4,9.2,12.5,9,3499.0
170.3,5,4.8,16.8,11,3479.0
143.2,4,3.1,3.9,7,3317.0
180.1,4,27.9,1.2,4,4075.0
169.6,4,13.6,8.0,11,3494.0
73.9,1,29.0,17.8,10,1650.0
183.3,5,2.6,5.4,6,3876.0
128.6,4,12.6,17.0,1,2587.0
170.2,5,21.6,24.3,7,3075.0
183.9,5,31.6,2.8,10,3938.0
94.3,3,12.8,17.0,5,2129.0
62.1,1,25.0,11.4,7,1887.0
80.3,1,35.4,21.8,0,1740.0
111.2,3,24.6,4.8,14,2776.0
171.8,5,9.3,17.5,0,2888.0
178.4,5,1.0,21.0,11,3532.0
46.1,1,34.8,23.6,6,1110.0
124.2,3,0.9,17.2,7,2691.0
109.7,2,35.0,12.7,12,2070.0
79.4,2,21.2,15.6,2,2076.0
63.6,2,37.6,21.8,4,1764.0
97.3,2,32.0,14.5,11,2123.0
191.2,5,39.9,1.2,0,4148.0
95.1,2,14.0,23.3,6,2098.0
125.4,3,30.7,17.4,4,2485.0
154.0,5,16.1,17.1,7,3090.0
101.4,2,19.2,5.8,12,2844.0
195.6,5,25.1,16.6,7,3359.0
194.2,5,34.9,10.1,8,3504.0
84.0,2,39.4,16.5,6,1679.0
122.1,3,30.7,3.1,10,3037.0
91.6,2,16.7,16.6,0,2072.0
89.2,2,16.9,25.0,12,1977.0
50.7,1,29.5,1.7,2,2522.0
139.5,5,9.6,24.4,7,2737.0
122.9,3,4.4,10.5,2,2798.0
53.0,1,14.2,21.8,7,1530.0
88.2,2,11.5,19.7,0,2076.0
185.8,5,11.9,14.4,4,3394.0
82.1,2,9.3,18.6,3,1871.0
67.5,2,1.7,22.0,4,1924.0
120.9,4,0.7,10.4,7,2811.0
197.8,5,39.5,8.5,9,3554.0
82.5,2,17.1,16.9,14,2034.0
149.2,4,15.4,20.3,13,2787.0
163.1,3,27.2,19.2,3,2991.0
81.8,1,8.7,20.0,10,2115.0
157.9,5,38.0,11.2,3,2821.0
102.0,4,31.5,20.5,14,2211.0
143.0,4,3.6,3.4,2,3720.0
143.2,4,16.7,13.8,6,2838.0
128.0,4,35.2,0.6,2,3536.0
59.0,3,37.8,8.5,11,1840.0
174.5,5,18.7,9.5,2,3350.0
94.7,2,24.5,10.2,10,2393.0
73.9,1,6.7,17.5,9,1940.0
51.3,1,39.6,10.0,4,1366.0
136.6,4,9.3,11.5,4,2991.0
150.0,4,37.7,6.3,13,2981.0
47.6,1,26.0,9.6,5,1886.0
124.4,3,24.3,6.1,7,3108.0
80.1,2,20.5,2.3,9,2911.0
145.0,5,9.2,15.3,5,3028.0
72.0,2,7.1,16.9,14,2079.0
152.1,4,8.8,15.7,11,3007.0
104.9,4,7.5,11.9,0,2535.0
190.2,5,31.2,9.8,14,3427.0
66.3,1,14.0,21.7,7,1824.0
97.9,3,2.3,13.2,7,2524.0
62.6,2,38.8,12.2,8,1564.0
188.3,4,35.4,1.1,8,4174.0
181.0,5,37.1,8.9,1,3119.0
85.0,2,39.8,9.8,14,2180.0
147.3,3,7.0,10.3,1,2971.0
171.7,5,15.8,14.7,2,3208.0
131.1,4,30.3,13.6,0,2578.0
127.1,3,27.8,15.4,3,2506.0
82.5,2,6.2,19.2,13,2218.0
59.4,1,32.6,20.4,3,1397.0
184.1,5,9.0,18.1,13,3342.0
184.6,5,9.0,23.9,8,3239.0
143.1,3,21.5,0.9,8,3812.0
97.5,3,23.7,5.3,8,2569.0
99.1,2,23.2,0.7,9,3303.0
157.5,4,3.7,16.4,6,3258.0
184.1,5,35.1,22.5,13,3112.0
182.5,5,10.6,6.5,14,3818.0
