yillik_gelir,harcama_puani
100077.0,79.4
120174.0,21.8
112921.0,79.5
117416.0,76.9
18731.0,79.8
114706.0,29.8
136540.0,3.9
26887.0,69.3
69755.0,46.2
69928.0,56.6
60311.0,56.3
122782.0,28.2
69105.0,48.0
24147.0,20.5
131478.0,8.9
12000.0,81.6
23456.0,23.0
110087.0,25.4
119460.0,82.0
21252.0,29.7
12000.0,34.1
17646.0,74.1
78882.0,43.7
29548.0,25.8
35011.0,75.2
27470.0,23.7
72359.0,52.4
25130.0,67.0
60658.0,55.4
114107.0,74.2
125655.0,22.1
69089.0,53.1
116221.0,80.3
35738.0,37.2
27136.0,27.1
22470.0,71.9
40429.0,71.0
126846.0,12.1
18601.0,63.2
124408.0,62.2
127089.0,79.6
126149.0,82.7
105631.0,88.4
17900.0,22.3
19448.0,76.9
107115.0,72.5
73389.0,48.7
100899.0,12.5
29991.0,27.3
123632.0,89.4
40215.0,22.4
74770.0,58.9
85055.0,52.1
129237.0,20.5
74299.0,61.6
30987.0,77.0
30734.0,77.1
125640.0,77.3
105535.0,77.5
136011.0,85.7
99253.0,19.3
119883.0,18.2
41741.0,73.5
117993.0,15.5
24181.0,81.8
66882.0,48.8
22035.0,21.7
124429.0,38.5
20366.0,80.5
80954.0,39.9
65273.0,63.3
26115.0,30.1
26731.0,71.4
117932.0,11.6
30113.0,27.7
15362.0,74.7
63506.0,47.4
25019.0,18.8
12000.0,73.8
40895.0,22.6
116218.0,19.4
28260.0,80.1
82247.0,54.0
30247.0,69.8
12000.0,20.3
129048.0,72.3
76769.0,49.8
68120.0,36.9
130534.0,84.4
68977.0,45.0
67537.0,44.2
12000.0,12.6
22815.0,35.5
12000.0,72.8
84269.0,54.0
107928.0,31.6
12000.0,28.4
60457.0,49.2
124395.0,84.9
118805.0,22.3
74401.0,52.0
23380.0,27.6
28360.0,76.0
64957.0,56.3
119828.0,14.7
124711.0,81.9
55113.0,45.3
30047.0,72.6
33825.0,79.1
34159.0,22.9
113663.0,76.1
115624.0,84.1
118332.0,29.4
34652.0,29.7
119725.0,33.9
22215.0,26.3
34445.0,35.7
116658.0,90.3
127971.0,14.8
27425.0,37.0
95146.0,75.1
128131.0,19.1
127090.0,75.1
29819.0,24.5
31276.0,72.9
115356.0,8.5
19041.0,24.6
92257.0,85.7
26176.0,83.5
123905.0,75.4
105436.0,89.5
29398.0,65.4
125442.0,22.3
114930.0,77.2
70732.0,51.1
60421.0,42.1
45228.0,26.1
129716.0,84.2
119374.0,87.5
32567.0,18.9
26389.0,31.3
28706.0,87.2
27553.0,83.0
27273.0,29.0
111036.0,15.7
24592.0,23.6
112530.0,77.6
120543.0,14.0
117223.0,97.3
33650.0,83.0
62765.0,63.3
104111.0,13.6
128942.0,85.8
116168.0,9.9
86397.0,44.9
12085.0,25.2
17387.0,77.7
131539.0,18.6
111439.0,4.0
13808.0,72.5
120076.0,20.5
16537.0,77.8
55986.0,55.2
66464.0,55.6
13078.0,71.3
119559.0,87.5
120563.0,19.6
73581.0,45.0
85722.0,57.5
23809.0,16.4
74673.0,54.6
114577.0,14.5
119849.0,85.4
121098.0,81.2
35857.0,73.6
112035.0,81.2
118497.0,15.4
31829.0,75.3
64113.0,47.7
20222.0,64.9
120715.0,71.7
21487.0,71.7
34827.0,78.3
131202.0,24.5
121250.0,87.1
115471.0,25.4
124496.0,15.2
73590.0,54.3
83916.0,46.1
29465.0,82.1
126627.0,26.5
106226.0,83.3
118817.0,73.7
22648.0,35.1
12000.0,70.9
81645.0,46.4
12000.0,21.0
118423.0,85.1
12000.0,73.4
14162.0,40.8
83819.0,56.5
39856.0,29.6
55429.0,59.1
121434.0,77.8
12000.0,89.4
128337.0,79.0
133882.0,79.8
60316.0,59.0
61348.0,43.2
125752.0,18.3
69177.0,40.1
25295.0,24.3
119847.0,84.2
25913.0,32.4
24992.0,16.6
106338.0,79.4
119031.0,11.3
76484.0,53.3
12971.0,79.5
33587.0,75.7
32032.0,62.0
122065.0,76.8
132537.0,21.6
60462.0,50.6
114710.0,32.5
28448.0,35.0
125272.0,77.0
15298.0,60.6
23255.0,79.2
124858.0,79.2
70531.0,36.4
17589.0,80.7
123394.0,11.9
66213.0,52.4
19371.0,35.5
104081.0,10.1
12000.0,24.9
115787.0,40.0
124246.0,22.9
14902.0,65.6
29515.0,22.0
119198.0,15.9
128424.0,9.9
16636.0,76.2
109444.0,19.0
43262.0,18.5
131594.0,19.5
131810.0,82.8
109292.0,76.4
30404.0,16.7
67610.0,58.2
29287.0,67.7
113485.0,10.6
76301.0,48.7
128782.0,15.7
73344.0,54.1
132036.0,82.7
12000.0,20.9
106849.0,86.0
24318.0,75.8
12000.0,23.5
17690.0,80.0
21353.0,22.9
25793.0,61.6
18224.0,14.9
28668.0,36.9
20279.0,21.8
74301.0,57.6
18317.0,28.8
102901.0,18.8
23819.0,83.2
62395.0,51.0
120346.0,95.3
64299.0,67.6
118860.0,62.4
20807.0,11.7
21516.0,27.9
12000.0,17.6
127325.0,21.6
22540.0,77.1
80137.0,49.1
128756.0,86.8
33678.0,73.2
42208.0,23.0
114884.0,22.7
81189.0,50.5
59155.0,42.1
62594.0,54.6
135116.0,18.6
87087.0,46.5
114478.0,73.8
21739.0,69.8
107387.0,9.5
133143.0,24.2
123947.0,22.2
111474.0,76.2
78515.0,54.3
20311.0,82.6
127640.0,87.7
38158.0,31.1
